dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
CPTAC-Kidney_Cancer,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Kidney Cancer,Kidney Cancer,261,NA,NA,NA,Open Access
CPTAC-LUAD,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,LUAD,Lung Adenocarcinoma,230,NA,NA,NA,Open Access
CPTAC-LUSC,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,LUSC,Lung Squamous Cell Cancer,109,NA,NA,NA,Open Access
CPTAC-Other,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Other,Other,5,NA,NA,NA,Open Access
CPTAC-PRAD,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Pancreatic Cancer,Pancreatic Cancer,170,NA,NA,NA,Open Access
CPTAC-Uterine_Cancer,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Uterine Cancer,Uterine Cancer,242,NA,NA,NA,Open Access
HCMI-CMDC-Bladder_Cancer,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,BLCA,Bladder Cancer,14,NA,NA,NA,Open Access
HCMI-CMDC-Brain_Cancer,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Brain Cancer,Brain Cancer,60,NA,NA,NA,Open Access
HCMI-CMDC-BRCA,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,BRCA,Breast Cancer,15,NA,NA,NA,Open Access
HCMI-CMDC-CRC,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,CRC,Colon Rectal Cancer,128,NA,NA,NA,Open Access
HCMI-CMDC-ESCA,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,ESCA,Esophageal Cancer,78,NA,NA,NA,Open Access
HCMI-CMDC-HNSC,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,HNSC,Head and Neck Squamous Cell Cancer,9,NA,NA,NA,Open Access
HCMI-CMDC-Kidney_Cancer,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Kidney Cancer,Kidney Cancer,11,NA,NA,NA,Open Access
HCMI-CMDC-Lung_Cancer,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Lung Cancer,Lung Cancer,23,NA,NA,NA,Open Access
HCMI-CMDC-Other,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Other,Other,42,NA,NA,NA,Open Access
HCMI-CMDC-OV,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,OV,Ovarian Cancer,16,NA,NA,NA,Open Access
HCMI-CMDC-PRAD,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Pancreatic Cancer,Pancreatic Cancer,96,NA,NA,NA,Open Access
HCMI-CMDC-READ,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,READ,Rectum Adenocarcinoma,43,NA,NA,NA,Open Access
HCMI-CMDC-Skin_Cancer,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Skin Cancer,Skin Cancer,45,NA,NA,NA,Open Access
HCMI-CMDC-STAD,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,STAD,Stomach Adenocarcinoma,29,NA,NA,NA,Open Access
HCMI-CMDC-Uterine_Cancer,NCI Cancer Model Development for the Human Cancer Model Initiative,https://portal.gdc.cancer.gov/projects/HCMI-CMDC,GDC Portal,HCMI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Uterine Cancer,Uterine Cancer,20,NA,NA,NA,Open Access
APOLLO-LUAD,APOLLO1: Proteogenomic characterization of lung adenocarcinoma,https://portal.gdc.cancer.gov/projects/APOLLO-LUAD,GDC Portal,APOLLO,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,LUAD,Lung Adenocarcinoma,87,NA,NA,NA,Open Access
CDDP_EAGLE-1,CDDP Integrative Analysis of Lung Adenocarcinoma (Phase 2),https://portal.gdc.cancer.gov/projects/CDDP_EAGLE-1,GDC Portal,CDDP_EAGLE,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,LUAD,Lung Adenocarcinoma,50,NA,NA,NA,Open Access
CGCI-BLGSP,Burkitt Lymphoma Genome Sequencing Project,https://portal.gdc.cancer.gov/projects/CGCI-BLGSP,GDC Portal,CGCI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Blood Cancer,Blood Cancer,324,NA,NA,NA,Open Access
CGCI-HTMCP-CC,HIV+ Tumor Molecular Characterization Project - Cervical Cancer,https://portal.gdc.cancer.gov/projects/CGCI-HTMCP-CC,GDC Portal,CGCI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,CESC,HIV+ Tumor Molecular Characterization Project - Cervical Cancer,212,NA,NA,NA,Open Access
CGCI-HTMCP-DLBCL,HIV+ Tumor Molecular Characterization Project - Diffuse Large B-Cell Lymphoma,https://portal.gdc.cancer.gov/projects/CGCI-HTMCP-DLBCL,GDC Portal,CGCI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,DLBC,HIV+ Tumor Molecular Characterization Project - Diffuse Large B-Cell Lymphoma,70,NA,NA,NA,Open Access
CGCI-HTMCP-LC,HIV+ Tumor Molecular Characterization Project - Lung Cancer,https://portal.gdc.cancer.gov/projects/CGCI-HTMCP-LC,GDC Portal,CGCI,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Lung Cancer,HIV+ Tumor Molecular Characterization Project - Lung Cancer,39,NA,NA,NA,Open Access
MP2PRT-ALL,Molecular Profiling to Predict Response to Treatment for Acute Lymphoblastic Leukemia,https://portal.gdc.cancer.gov/projects/MP2PRT-ALL,GDC Portal,MP2PRT,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,ALL,Acute Lymphoblastic Leukemia,1510,NA,NA,NA,Open Access
MP2PRT-WT,Molecular Profiling to Predict Response to Treatment - Wilms Tumor,https://portal.gdc.cancer.gov/projects/MP2PRT-WT,GDC Portal,MP2PRT,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,WT,Wilms Tumor,52,NA,NA,NA,Open Access
REBC-THYR,Comprehensive genomic characterization of radiation-related papillary thyroid cancer in the Ukraine,https://portal.gdc.cancer.gov/projects/REBC-THYR,GDC Portal,REBC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,THCA,Thyroid Cancer,449,NA,NA,NA,Open Access
TARGET-ALL-P2,Acute Lymphoblastic Leukemia - Phase II,https://portal.gdc.cancer.gov/projects/TARGET-ALL-P2,GDC Portal,TARGET,bulkDNA,sample,Genotyping Array,Affymetrix SNP 6.0,ASCAT2,Bin Integer,ACN estimate,segment-level BED,hg38,ALL,Acute Lymphoblastic Leukemia,1587,NA,NA,NA,Open Access
TARGET-AML,Acute Myeloid Leukemia,https://portal.gdc.cancer.gov/projects/TARGET-AML,GDC Portal,TARGET,bulkDNA,sample,Genotyping Array,Affymetrix SNP 6.0,ASCAT2,Bin Integer,ACN estimate,segment-level BED,hg38,AML,Acute Myeloid Leukemia,2492,NA,NA,NA,Open Access
TARGET-CCSK,Clear Cell Sarcoma of the Kidney,https://portal.gdc.cancer.gov/projects/TARGET-CCSK,GDC Portal,TARGET,bulkDNA,sample,Genotyping Array,Affymetrix SNP 6.0,ASCAT2,Bin Integer,ACN estimate,segment-level BED,hg38,Kidney Cancer,Clear Cell Sarcoma of the Kidney,13,NA,NA,NA,Open Access
TARGET-OS,Osteosarcoma,https://portal.gdc.cancer.gov/projects/TARGET-OS,GDC Portal,TARGET,bulkDNA,sample,Genotyping Array,Affymetrix SNP 6.0,ASCAT2,Bin Integer,ACN estimate,segment-level BED,hg38,OS,Osteosarcoma,383,NA,NA,NA,Open Access
TCGA-ACC,Adrenocortical Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-ACC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,ACC,Adrenocortical Carcinoma,92,NA,NA,NA,Open Access
TCGA-BLCA,Bladder Urothelial Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-BLCA,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,BLCA,Bladder Urothelial Carcinoma,412,NA,NA,NA,Open Access
TCGA-BRCA,Breast Invasive Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,BRCA,Breast Invasive Carcinoma,1098,NA,NA,NA,Open Access
TCGA-CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-CESC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3",Bin Integer,ACN estimate,segment-level BED,hg38,CESC,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,307,NA,NA,NA,Open Access
TCGA-CHOL,Cholangiocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-CHOL,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,CHOL,Cholangiocarcinoma,51,NA,NA,NA,Open Access
TCGA-COAD,Colon Adenocarcinoma,https://portal.gdc.cancer.gov/projects/TCGA-COAD,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,COAD,Colon Adenocarcinoma,461,NA,NA,NA,Open Access
TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,https://portal.gdc.cancer.gov/projects/TCGA-DLBC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,58,NA,NA,NA,Open Access
TCGA-ESCA,Esophageal Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-ESCA,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,ESCA,Esophageal Carcinoma,185,NA,NA,NA,Open Access
TCGA-GBM,Glioblastoma Multiforme,https://portal.gdc.cancer.gov/projects/TCGA-GBM,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,GBM,Glioblastoma Multiforme,617,NA,NA,NA,Open Access
TCGA-HNSC,Head and Neck Squamous Cell Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-HNSC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,HNSC,Head And Neck Squamous Cell Carcinoma,528,NA,NA,NA,Open Access
TCGA-KICH,Kidney Chromophobe,https://portal.gdc.cancer.gov/projects/TCGA-KICH,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,KICH,Kidney Chromophobe,113,NA,NA,NA,Open Access
TCGA-KIRC,Kidney Renal Clear Cell Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-KIRC,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,KIRC,Kidney Renal Clear Cell Carcinoma,537,NA,NA,NA,Open Access
TCGA-KIRP,Kidney Renal Papillary Cell Carcinoma,https://portal.gdc.cancer.gov/projects/TCGA-KIRP,GDC Portal,TCGA,bulkDNA,sample,"Genotyping Array,WGS","Affymetrix SNP 6.0,Illumina","ASCAT2,ASCAT3,AscatNGS",Bin Integer,ACN estimate,segment-level BED,hg38,KIRP,Kidney Renal Papillary Cell Carcinoma,291,NA,NA,NA,Open Access
TCGA-LAML,Acute Myeloid Leukemia,https://portal.gdc.cancer.gov/projects/TCGA-LAML,GDC Portal,TCGA,bulkDNA,sample,Genotyping Array,Affymetrix SNP 6.0,"ASCAT2,ASCAT3",Bin Integer,ACN estimate,segment-level BED,hg38,AML,Acute Myeloid Leukemia,200,NA,NA,NA,Open Access
